"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RV8XHVDG","journalArticle","2024","Liu, Bufan; Chen, Chun-Hsien; Wang, Zuoxu","A multi-hierarchical aggregation-based graph convolutional network for industrial knowledge graph embedding towards cognitive intelligent manufacturing","Journal of Manufacturing Systems","","0278-6125","10.1016/j.jmsy.2024.08.012","https://www.sciencedirect.com/science/article/pii/S0278612524001766","The rapid development and widespread applications of cognitive computing technologies have led to a paradigm shift towards cognitive intelligent development in manufacturing, where knowledge plays an increasingly important role in enabling higher levels of cognition. Knowledge graph (KG) has emerged as one of the essential tools in cognitive intelligent manufacturing and its completion would significantly impact the quality of knowledge. To facilitate effective knowledge management, KG embedding has proven to be an effective approach for KG completion. However, existing models have deficiencies in achieving relation-specific transformations, differentiating the neighbor nodes, and exploiting the intermediate information generated during the KG embedding learning process, which is prone to limit model performance and hinder successful applications. To address these limitations, this paper proposes a new multi-hierarchical aggregation-based graph convolutional network (GCN), consisting of relation-aware, entity-aware, and across-block aggregation. A parallel relation and entity-aware aggregation (PREA) block is established to simultaneously perform relation-specific transformations and entity-differentiated learning. Additionally, an across-block aggregation is constructed to efficiently integrate extracted information from the intermediate stacked block. To demonstrate the effectiveness and superiority of the proposed approach, 3D printing KG is constructed, which is a representative knowledge-intensive industry linking to a variety of aspects like raw materials, adhesion, usages, etc. Extensive experiments are conducted based on the link prediction task. Illustrative examples are provided to reveal the practical implementation of the proposed method, along with technical details and insightful opinions, exhibiting its promising applications.","2024-10-01","2024-08-22 02:19:34","2026-06-13 10:04:42","","320-332","","","76","","Journal of Manufacturing Systems","","","","","","","","","","","","","","","JCR分区: Q1 中科院分区升级版: 工程技术1区 影响因子: 14.2 5年影响因子: 13.9 EI: 是","","E:\OneDrive\literature_library\storage\wangzuoxu\Liu et al_2024_Journal of Manufacturing Systems_A multi-hierarchical aggregation-based graph convolutional network for industrial knowledge graph.pdf","","Cognitive intelligent manufacturing; Graph convolutional network; Knowledge graph; Link prediction; Multi-hierarchical aggregation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M4WD3TUB","journalArticle","2022","Wang, Zuoxu; Liu, Jihong; Zheng, Lianyu","The Evolution, Framework, and Future of Cognitive Intelligence-enabled Product Design","Procedia CIRP","","","10.1016/j.procir.2022.05.289","https://www.sciencedirect.com/science/article/pii/S2212827122007387","In recent years, the powerful capabilities of big data and intelligent algorithms (e.g., machine learning (ML) and deep learning (DL)) have fostered a new product design paradigm called Artificial intelligence (AI)-enabled design. Although current AI-enabled design outperforms many other classic design methods by effectiveness and efficiency, most of its applications are still preliminary AI-based applications, such as classification, recognition, and detection. Many domain knowledge and design knowledge among historical design cases and designers have not been fully recognized and explored. To bridge the semantic gap between humans and systems/machines, this study proposed a cognitive intelligence-enabled product design (CIPD) framework in which cognitive computing serves as the key enabler. To make the vision concrete, this study proposes a CIPD framework to illustrate the relationship between cognitive intelligence and product design. Meanwhile, the prospective human-like capabilities of CIPD and the critical enabling technologies are also described. Finally, some potential CIPD industrial applications are envisioned.","2022-01-01","2024-07-17 04:21:32","2026-06-13 10:08:33","","526-531","","","109","","Procedia CIRP","","","","","32nd CIRP Design Conference (CIRP Design 2022) - Design in a changing world","","","","","","","","","","EI: 是","","","","AI-enabled product design; artificial intelligence; cognitive computing; cognitive intelligence-enabled product design; product design","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9LBEPGQ7","journalArticle","2022","Wang, Zuoxu; Zheng, Pai; Li, Xinyu; Chen, Chun-Hsien","Implications of data-driven product design: From information age towards intelligence age","Advanced Engineering Informatics","","1474-0346","10.1016/j.aei.2022.101793","https://www.sciencedirect.com/science/article/pii/S1474034622002518","Data-driven design (D3), a new design paradigm benefited from advanced data analytics and computational intelligence, has gradually promoted the research of data-driven product design (DDPD) ever since 2000 s. In today’s Intelligence Age, some theoretical and practical studies have tried to achieve the advanced intelligence capabilities in DDPD. However, to the authors' best knowledge, there is still a lack of a holistic summary of DDPD with chronological concern in the intelligence age. To bridge the gap, this research undertakes a literature review of DDPD publications from 2000 to date (19/09/2022), of which 172 relevant papers are discussed via bibliometric analysis and state-of-the-art analysis. The results shown that DDPD has vitality in the Intelligence Age by combining the cutting-edge digital technologies, such as AI, additive manufacturing, digital twin, and so on. Moreover, current DDPD studies could outperform the classical design methods on the well-defined tasks, but it still cannot master the creative/innovative design tasks which require the cognitive capability. This survey further highlights several future research potentials including cognitive intelligence-enabled design, end-to-end design integration, advanced design knowledge support, design for additive manufacturing, and sustainable smart product-service systems. It is hoped that this work can be regarded as a reference to understand the roadmap of DDPD and offer insights for the design practitioners to complete relevant tasks in today’s intelligence age.","2022-10-01","2023-07-21 03:15:14","2026-06-13 10:06:45","2023-07-21 03:15:14","101793","","","54","","Advanced Engineering Informatics","Implications of data-driven product design","","","","","","","en","","","","","ScienceDirect","","JCR分区: Q1 中科院分区升级版: 工程技术1区 影响因子: 9.9 5年影响因子: 10.0 EI: 是","","C:\Users\zuoxu\Zotero\storage\YNJAIZ4K\S1474034622002518.html; E:\OneDrive\literature_library\storage\wangzuoxu\Wang et al_2022_Advanced Engineering Informatics_Implications of data-driven product design - From information age towards intelligence age.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6EB6KD99","journalArticle","2021","Li, Xinyu; Lyu, Mengtao; Wang, Zuoxu; Chen, Chun-Hsien; Zheng, Pai","Exploiting knowledge graphs in industrial products and services: A survey of key aspects, challenges, and future perspectives","Computers in Industry","","0166-3615","10.1016/j.compind.2021.103449","https://www.sciencedirect.com/science/article/pii/S0166361521000567","The rapid development of information and communication technologies has enabled a value co-creation paradigm for developing industrial products and services, where massive heterogeneous data and multidisciplinary knowledge are generated and leveraged. In this context, Knowledge Graph (KG) emerges as a promising tool to elicit, fuse, process, and utilize numerous entities and relationships embedded in products and services, as well as their stakeholders. Nevertheless, to the best of the authors’ knowledge, there is scarcely any comprehensive and thorough discussion about making full use of KG’s potentials to solve pain points of product development and service innovation in the industry. Aiming to fill this gap, this paper conducted a systematic survey of KG exploitations in industrial products and services and the customizations towards higher adaptability to practices. The authors selected 119 representative papers (up to 10/03/2021) together with other 29 supplementary works to summarize the technical and practical efforts and discuss the current challenges of exploiting KG in industrial products and services. Meantime, this work also highlights enhancing KG’s availability and boosting its productivity in industrial products and services development as the core future perspectives to explore. It is hoped that this work can provide a basis for the explorations and implementations of KG-supported industrial product and services development, and attract more open discussions to the exploitation of KG-enabled industrial information systems.","2021-08-01","2023-06-02 02:52:59","2026-06-13 10:06:28","2023-06-02 02:52:59","103449","","","129","","Computers in Industry","Exploiting knowledge graphs in industrial products and services","","","","","","","en","","","","","ScienceDirect","","JCR分区: Q1 中科院分区升级版: 计算机科学1区 影响因子: 9.1 5年影响因子: 10.4 EI: 是","","C:\Users\zuoxu\Zotero\storage\4R9G7VEG\S0166361521000567.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2Y54CXUS","book","2021","Zheng, Pai; Chen, Chun-Hsien; Wang, Zuoxu","Smart Product-Service Systems","","0-323-85247-5","","","https://www.elsevier.com/books/smart-product-service-systems/zheng/978-0-323-85247-0","","2021","2023-02-19 04:12:01","2023-02-19 04:16:44","","","","","","","","","","","","","Elsevier-Health Science","","","","","","","","","","","C:\Users\zuoxu\Zotero\storage\GMWIJLLI\978-0-323-85247-0.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G2JJWGT7","journalArticle","2020","Cong, Jing-chen; Chen, Chun-Hsien; Zheng, Pai; Li, Xinyu; Wang, Zuoxu","A holistic relook at engineering design methodologies for smart product-service systems development","Journal of Cleaner Production","","0959-6526","10.1016/j.jclepro.2020.122737","http://www.sciencedirect.com/science/article/pii/S0959652620327840","","2020","2023-08-17 07:43:09","2026-06-13 10:04:11","","122737","","","272","","","","","","","","","","","","","","","","","Type: Journal Article JCR分区: Q1 中科院分区升级版: 环境科学与生态学1区 影响因子: 10.0 5年影响因子: 10.7 EI: 是","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FDGWRIXC","journalArticle","2021","Li, Xinyu; Lyu, Mengtao; Wang, Zuoxu; Chen, Chun-Hsien; Zheng, Pai","Exploiting knowledge graphs in industrial products and services: A survey of key aspects, challenges, and future perspectives","Computers in Industry","","0166-3615","10.1016/j.compind.2021.103449","https://www.sciencedirect.com/science/article/pii/S0166361521000567","","2021","2023-08-17 09:26:52","2026-06-13 10:06:20","","103449","","","129","","","","","","","","","","","","","","","","","Type: Journal Article JCR分区: Q1 中科院分区升级版: 计算机科学1区 影响因子: 9.1 5年影响因子: 10.4 EI: 是","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AU9YMLXP","conferencePaper","","Lee, Ching-Hung; Chen, Chun-Hsien; Lee, Yu-Chi; Wang, ZuoXu","An integrated computer-aided design environment for customizing product/service systems","Proceedings of 25th ISPE International Conference on Trans Disciplinary Engineering (TE2018), Modena, Italy","","","10.3233/978-1-61499-898-3-469","","","","2023-08-17 09:26:52","2023-08-17 09:27:11","","469-477","","","7","","","","","","","","","","","","","","","","","Type: Conference Proceedings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CPLD6QGW","journalArticle","2021","Li, Xinyu; Wang, Zuoxu; Chen, Chun-Hsien; Zheng, Pai","A data-driven reversible framework for achieving Sustainable Smart product-service systems","Journal of Cleaner Production","","0959-6526","10.1016/j.jclepro.2020.123618","https://www.sciencedirect.com/science/article/pii/S0959652620336635","","2021","2023-08-17 09:26:52","2026-06-13 10:03:56","","123618","","","279","","","","","","","","","","","","","","","","","Type: Journal Article JCR分区: Q1 中科院分区升级版: 环境科学与生态学1区 影响因子: 10.0 5年影响因子: 10.7 EI: 是","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F9IMSBNJ","journalArticle","2022","Li, Shufei; Zheng, Pai; Wang, Zuoxu; Fan, Junming; Wang, Lihui","Dynamic Scene Graph for Mutual-Cognition Generation in Proactive Human-Robot Collaboration","Procedia CIRP","","2212-8271","10.1016/j.procir.2022.05.089","https://www.sciencedirect.com/science/article/pii/S2212827122003730","","2022","2023-08-17 09:26:52","2026-06-13 10:05:53","","943-948","","","107","","","","","","","","","","","","","","","","","Type: Journal Article EI: 是","","E:\OneDrive\literature_library\storage\wangzuoxu\Li et al_2022_Dynamic Scene Graph for Mutual-Cognition Generation in Proactive Human-Robot Collaboration.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
